config,val_rmse,val_mae,test_rmse,test_mae,test_r2
V/I/T/ICA/DVA,0.055380267185656584,0.03034449741244316,0.030775305608481983,0.024911798536777496,0.9420011639595032
V/I/T/ICA,0.02347983198083045,0.018298795446753502,0.024332994333603277,0.019780073314905167,0.9637418389320374
V/I/T/DVA,0.0266062235092268,0.021714504808187485,0.02917870591228481,0.02319253422319889,0.947862982749939
